,i,ppron,pronoun,negemo,adverb,anger,bio,cogmech,conj,sad,swear,affect,body,present,discrep,relativ,article,preps,posemo,space,time,funct,leisure,achieve,relig,social,incl,motion,we,auxverb
64559317fa80cfe10eea91e10642abda,30.0,67.0,113.0,26.0,43.0,13.0,23.0,121.0,39.0,2.0,7.0,52.0,6.0,81.0,14.0,95.0,55.0,64.0,25.0,40.0,33.0,397.0,6.0,11.0,2.0,73.0,26.0,20.0,4.0,77.0
64a0f6ca7fadb3a6e3f823dcea00ae27,133.0,218.0,305.0,68.0,88.0,22.0,66.0,275.0,90.0,16.0,4.0,149.0,25.0,181.0,41.0,174.0,75.0,169.0,79.0,76.0,62.0,881.0,24.0,44.0,2.0,173.0,58.0,30.0,15.0,138.0
64bc9a8dda0466f4e3ca267c862d2478,2.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,2.0,1.0,1.0,2.0,8.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0
64cb410bc5170d1ad7a3476113461e59,1.0,2.0,4.0,1.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,1.0,3.0,2.0,0.0,2.0,11.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
64f9b164c76ae2dd3c8019cec008d3f7,11.0,14.0,19.0,1.0,7.0,1.0,3.0,27.0,9.0,0.0,1.0,2.0,3.0,11.0,0.0,23.0,12.0,26.0,1.0,15.0,7.0,83.0,6.0,6.0,2.0,6.0,11.0,1.0,3.0,7.0
650dcfe7b3db65d0e8589d5bc27925ff,46.0,76.0,134.0,16.0,56.0,6.0,5.0,161.0,56.0,5.0,0.0,67.0,2.0,94.0,25.0,142.0,61.0,105.0,51.0,57.0,58.0,535.0,25.0,20.0,2.0,57.0,24.0,23.0,1.0,92.0
65266a09dc3d274bed54447cf4565392,66.0,96.0,124.0,25.0,61.0,14.0,34.0,146.0,45.0,3.0,5.0,80.0,12.0,117.0,23.0,161.0,40.0,96.0,54.0,50.0,98.0,458.0,11.0,23.0,1.0,78.0,38.0,11.0,14.0,83.0
65aa5b04d73c3d4fb823ba3c2d348293,88.0,140.0,231.0,44.0,81.0,13.0,43.0,224.0,91.0,8.0,5.0,143.0,14.0,146.0,33.0,186.0,46.0,138.0,97.0,66.0,87.0,726.0,17.0,26.0,4.0,106.0,54.0,26.0,4.0,123.0
65cfb9f7ecff45c9dae88b9339b16b1a,15.0,25.0,32.0,10.0,13.0,4.0,12.0,20.0,13.0,2.0,1.0,26.0,7.0,25.0,0.0,23.0,6.0,15.0,16.0,9.0,11.0,91.0,3.0,4.0,2.0,16.0,12.0,3.0,1.0,18.0
661d7017ad6e5a5d09a8841917fea5bf,14.0,56.0,91.0,22.0,31.0,4.0,22.0,148.0,43.0,6.0,0.0,63.0,5.0,79.0,21.0,121.0,49.0,93.0,40.0,36.0,61.0,412.0,6.0,20.0,1.0,71.0,18.0,16.0,13.0,81.0
66495ec54feb9e2399db05a67a80f2c6,425.0,616.0,972.0,114.0,384.0,32.0,157.0,991.0,380.0,30.0,10.0,664.0,58.0,558.0,108.0,1370.0,454.0,954.0,549.0,516.0,664.0,3773.0,155.0,99.0,22.0,484.0,285.0,158.0,28.0,478.0
